iter	Passed	Remaining
0	11	914
1	29	1162
2	42	1086
3	58	1110
4	74	1118
5	96	1185
6	121	1265
7	136	1227
8	153	1207
9	168	1179
10	186	1168
11	216	1228
12	233	1203
13	251	1184
14	271	1175
15	288	1155
16	307	1137
17	320	1103
18	334	1073
19	347	1042
20	363	1021
21	376	992
22	391	969
23	406	949
24	421	927
25	437	909
26	450	883
27	464	863
28	477	839
29	494	824
30	507	802
31	518	777
32	533	759
33	546	739
34	558	718
35	575	703
36	588	683
37	605	669
38	617	649
39	634	634
40	650	619
41	663	600
42	684	588
43	701	574
44	735	572
45	752	555
46	768	539
47	782	521
48	792	501
49	802	481
50	817	464
51	828	445
52	839	427
53	849	408
54	862	392
55	875	375
56	887	358
57	898	340
58	909	323
59	921	307
60	932	290
61	943	273
62	953	257
63	963	240
64	974	224
65	985	209
66	996	193
67	1008	178
68	1019	162
69	1029	147
70	1040	131
71	1050	116
72	1062	101
73	1072	86
74	1081	72
75	1092	57
76	1108	43
77	1125	28
78	1137	14
79	1146	0
