iter	Logloss
0	0.6216007047
1	0.5617456598
2	0.512690427
3	0.4720034019
4	0.4370913016
5	0.4070441295
6	0.3825359973
7	0.3603620735
8	0.3412888757
9	0.3252778732
10	0.3104646403
11	0.2971534101
12	0.2862267447
13	0.2764415588
14	0.2675627531
15	0.2598376745
16	0.2534985781
17	0.2477565759
18	0.2421634408
19	0.2372934589
20	0.2327956933
21	0.2291900339
22	0.2254717251
23	0.2226153748
24	0.2201105658
25	0.217995059
26	0.2155807254
27	0.2135067315
28	0.2112679196
29	0.2094045974
30	0.2075770274
31	0.2060679683
32	0.2046182937
33	0.2030990944
34	0.2015683951
35	0.2004185417
36	0.1994575923
37	0.1984933652
38	0.1979467318
39	0.1970658558
40	0.1962666666
41	0.1951556939
42	0.1943441392
43	0.1935238742
44	0.1928837523
45	0.19214719
46	0.1911871222
47	0.1906025325
48	0.1897984816
49	0.1893013707
