iter	Passed	Remaining
0	5	252
1	10	247
2	14	233
3	19	225
4	24	216
5	28	209
6	33	203
7	37	196
8	42	191
9	46	185
10	51	181
11	55	175
12	60	173
13	65	169
14	67	157
15	71	152
16	76	148
17	81	144
18	85	140
19	90	135
20	95	131
21	99	126
22	104	122
23	109	118
24	114	114
25	118	109
26	122	104
27	127	100
28	131	95
29	136	91
30	141	86
31	145	81
32	150	77
33	155	72
34	159	68
35	164	63
36	168	59
37	173	54
38	178	50
39	182	45
40	187	41
41	192	36
42	196	32
43	201	27
44	205	22
45	210	18
46	214	13
47	219	9
48	224	4
49	228	0
