iter	Logloss
0	0.640419593
1	0.5947270423
2	0.5546671539
3	0.5193380169
4	0.4881049952
5	0.460381118
6	0.4357589743
7	0.4137669143
8	0.3940951557
9	0.3764028086
10	0.360462616
11	0.3462467756
12	0.3333468281
13	0.3218281981
14	0.3114637471
15	0.3018207887
16	0.2933348368
17	0.2855948112
18	0.2782473682
19	0.2715010067
20	0.2648223207
21	0.2589719614
22	0.25341154
23	0.2483212525
24	0.2437738743
25	0.2395174865
26	0.2358256264
27	0.2326291452
28	0.2278681218
29	0.2237029848
30	0.219703537
31	0.2161302971
32	0.2127627356
33	0.2099582728
34	0.2072745475
35	0.205000443
36	0.2029905152
37	0.2009975735
38	0.1993068244
39	0.1978515308
40	0.1964283959
41	0.1950861768
42	0.1934769545
43	0.1923180097
44	0.1911981974
45	0.1901464389
46	0.1889962826
47	0.1879574567
48	0.1871779714
49	0.1863900053
50	0.1857325195
51	0.1853016998
52	0.1847021245
53	0.1840287012
54	0.1833032991
55	0.1829675045
56	0.1826498708
57	0.1820099816
58	0.181267414
59	0.1807210983
60	0.1802456094
61	0.1796821081
62	0.1792123142
63	0.178891014
64	0.1786664785
65	0.1783771238
66	0.1781383964
67	0.1778704863
68	0.1774222027
69	0.1772059488
70	0.1769688261
71	0.1767309305
72	0.176564634
73	0.176424734
74	0.1762365481
75	0.1759776208
76	0.1757302482
77	0.175607325
78	0.1755712525
79	0.1755242199
80	0.1754058458
81	0.1751841232
82	0.1750265832
83	0.1748464789
84	0.174617935
85	0.1745651821
86	0.1743986404
87	0.1743399576
88	0.174260359
89	0.1742163287
90	0.1740705241
91	0.1739414745
92	0.1738764019
93	0.1738167954
94	0.1737361619
95	0.1735535681
96	0.1734492458
97	0.1733605019
98	0.1732371543
99	0.1730758304
