iter	Passed	Remaining
0	3	377
1	7	384
2	9	323
3	13	326
4	16	321
5	19	312
6	21	291
7	23	269
8	24	250
9	26	238
10	30	244
11	32	238
12	35	235
13	36	224
14	39	225
15	42	223
16	45	223
17	48	223
18	51	221
19	54	218
20	58	219
21	62	220
22	65	218
23	68	217
24	71	214
25	74	213
26	78	211
27	80	207
28	83	204
29	86	202
30	89	199
31	93	198
32	96	195
33	99	193
34	102	191
35	105	188
36	108	185
37	112	182
38	115	180
39	119	179
40	122	176
41	125	173
42	129	171
43	132	169
44	136	166
45	139	163
46	142	160
47	145	157
48	148	155
49	151	151
50	155	149
51	158	145
52	161	142
53	163	139
54	165	135
55	167	131
56	171	129
57	174	126
58	177	123
59	181	120
60	184	118
61	187	115
62	190	112
63	193	108
64	196	105
65	200	103
66	203	100
67	206	97
68	209	94
69	213	91
70	216	88
71	220	85
72	223	82
73	226	79
74	229	76
75	232	73
76	236	70
77	239	67
78	243	64
79	247	61
80	250	58
81	254	55
82	258	52
83	261	49
84	264	46
85	268	43
86	271	40
87	274	37
88	277	34
89	281	31
90	284	28
91	287	25
92	291	21
93	294	18
94	298	15
95	301	12
96	304	9
97	308	6
98	312	3
99	315	0
