iter	Logloss
0	0.618987939
1	0.5585149436
2	0.5082799436
3	0.466089728
4	0.4304632284
5	0.4002849394
6	0.374569724
7	0.3525685751
8	0.3336943817
9	0.3174816622
10	0.30333728
11	0.2910486733
12	0.2802142012
13	0.271318068
14	0.2631878264
15	0.2553039229
16	0.2485271994
17	0.2424605043
18	0.2371771653
19	0.2320035617
20	0.2256646796
21	0.2196504725
22	0.2145727313
23	0.2102869525
24	0.2066553048
25	0.2035094677
26	0.2006010947
27	0.1983872898
28	0.1960617188
29	0.193906686
30	0.1921032561
31	0.1905454529
32	0.1887812479
33	0.1876970362
34	0.1864210303
35	0.1855454925
36	0.184539119
37	0.1838139216
38	0.1832537234
39	0.1821459714
40	0.1815094633
41	0.1805997787
42	0.1801112908
43	0.1794066133
44	0.1786311303
45	0.1780570547
46	0.1775492585
47	0.1771710388
48	0.1767665701
49	0.176290571
50	0.1759935912
51	0.1757158413
52	0.1752580676
53	0.1751130755
54	0.1750825456
55	0.1750248898
56	0.1747672725
57	0.1747072378
58	0.1744985162
59	0.1743879085
60	0.1742222229
61	0.1739465326
62	0.1738256574
63	0.1736492649
64	0.1735315133
65	0.1734159601
66	0.1733390763
67	0.1732914482
68	0.1732281751
69	0.1731024754
70	0.1730533939
71	0.1729175185
72	0.1728240745
73	0.1726732734
74	0.1726531213
75	0.1724505493
76	0.172341886
77	0.1722696629
78	0.1722603706
79	0.1721203875
80	0.1720464452
81	0.1720019869
82	0.1719565961
83	0.1718549224
84	0.171734187
85	0.1716500063
86	0.171565966
87	0.1714693306
88	0.1714343762
89	0.1713573324
90	0.1713134216
91	0.1712973298
92	0.1712666785
93	0.1711549237
94	0.1711201313
95	0.1710448207
96	0.1709717852
97	0.1709489638
98	0.1708849223
99	0.170826519
